REPOSITORY                                      TAG                                    IMAGE ID       CREATED         SIZE
amazoncorretto                                  8-al2023-jdk                           de2013a6bc50   31 hours ago    817MB
amazoncorretto                                  8-al2023-jre                           de2013a6bc50   31 hours ago    817MB
amazoncorretto                                  8u382-al2023                           de2013a6bc50   31 hours ago    817MB
amazoncorretto                                  8u382-al2023-jre                       de2013a6bc50   31 hours ago    817MB
amazoncorretto                                  8                                      0cf72dc7d40c   31 hours ago    350MB
amazoncorretto                                  8-al2-full                             0cf72dc7d40c   31 hours ago    350MB
amazoncorretto                                  8-al2-generic                          0cf72dc7d40c   31 hours ago    350MB
amazoncorretto                                  8-al2-generic-jdk                      0cf72dc7d40c   31 hours ago    350MB
amazoncorretto                                  8-al2-jdk                              0cf72dc7d40c   31 hours ago    350MB
amazoncorretto                                  8u382                                  0cf72dc7d40c   31 hours ago    350MB
amazoncorretto                                  8u382-al2                              0cf72dc7d40c   31 hours ago    350MB
amazoncorretto                                  8u382-al2-generic                      0cf72dc7d40c   31 hours ago    350MB
amazoncorretto                                  latest                                 0cf72dc7d40c   31 hours ago    350MB
erlang                                          22-slim                                4b665c9f36a6   46 hours ago    256MB
erlang                                          22.3-slim                              4b665c9f36a6   46 hours ago    256MB
erlang                                          22.3.4-slim                            4b665c9f36a6   46 hours ago    256MB
erlang                                          22.3.4.26-slim                         4b665c9f36a6   46 hours ago    256MB
erlang                                          22                                     8578d176f86d   46 hours ago    1.22GB
erlang                                          22.3                                   8578d176f86d   46 hours ago    1.22GB
erlang                                          22.3.4                                 8578d176f86d   46 hours ago    1.22GB
erlang                                          22.3.4.26                              8578d176f86d   46 hours ago    1.22GB
erlang                                          23-alpine                              c33dcb0d6ed4   46 hours ago    70MB
erlang                                          23.3-alpine                            c33dcb0d6ed4   46 hours ago    70MB
erlang                                          23.3.4-alpine                          c33dcb0d6ed4   46 hours ago    70MB
erlang                                          23.3.4.19-alpine                       c33dcb0d6ed4   46 hours ago    70MB
erlang                                          23-slim                                a0f1cae62cc9   46 hours ago    259MB
erlang                                          23.3-slim                              a0f1cae62cc9   46 hours ago    259MB
erlang                                          23.3.4-slim                            a0f1cae62cc9   46 hours ago    259MB
erlang                                          23.3.4.19-slim                         a0f1cae62cc9   46 hours ago    259MB
erlang                                          23                                     7ebfac7be0e0   46 hours ago    1.22GB
erlang                                          23.3                                   7ebfac7be0e0   46 hours ago    1.22GB
erlang                                          23.3.4                                 7ebfac7be0e0   46 hours ago    1.22GB
erlang                                          23.3.4.19                              7ebfac7be0e0   46 hours ago    1.22GB
erlang                                          24-alpine                              0342687d4dc9   46 hours ago    78.5MB
erlang                                          24.3-alpine                            0342687d4dc9   46 hours ago    78.5MB
erlang                                          24.3.4-alpine                          0342687d4dc9   46 hours ago    78.5MB
erlang                                          24.3.4.13-alpine                       0342687d4dc9   46 hours ago    78.5MB
erlang                                          24-slim                                5bdbb5312afb   46 hours ago    278MB
erlang                                          24.3-slim                              5bdbb5312afb   46 hours ago    278MB
erlang                                          24.3.4-slim                            5bdbb5312afb   46 hours ago    278MB
erlang                                          24.3.4.13-slim                         5bdbb5312afb   46 hours ago    278MB
erlang                                          24                                     02a8c5d7c550   46 hours ago    1.46GB
erlang                                          24.3                                   02a8c5d7c550   46 hours ago    1.46GB
erlang                                          24.3.4                                 02a8c5d7c550   46 hours ago    1.46GB
erlang                                          24.3.4.13                              02a8c5d7c550   46 hours ago    1.46GB
erlang                                          25-alpine                              24bc4a6a2c50   46 hours ago    77.6MB
erlang                                          25.3-alpine                            24bc4a6a2c50   46 hours ago    77.6MB
erlang                                          25.3.2-alpine                          24bc4a6a2c50   46 hours ago    77.6MB
erlang                                          25.3.2.3-alpine                        24bc4a6a2c50   46 hours ago    77.6MB
erlang                                          25-slim                                e6ae5c89daa5   46 hours ago    280MB
erlang                                          25.3-slim                              e6ae5c89daa5   46 hours ago    280MB
erlang                                          25.3.2-slim                            e6ae5c89daa5   46 hours ago    280MB
erlang                                          25.3.2.3-slim                          e6ae5c89daa5   46 hours ago    280MB
erlang                                          26-alpine                              046bfcca364f   46 hours ago    78.1MB
erlang                                          26.0-alpine                            046bfcca364f   46 hours ago    78.1MB
erlang                                          26.0.2-alpine                          046bfcca364f   46 hours ago    78.1MB
erlang                                          26.0.2.0-alpine                        046bfcca364f   46 hours ago    78.1MB
erlang                                          alpine                                 046bfcca364f   46 hours ago    78.1MB
erlang                                          26-slim                                9b1921a73328   46 hours ago    286MB
erlang                                          26.0-slim                              9b1921a73328   46 hours ago    286MB
erlang                                          26.0.2-slim                            9b1921a73328   46 hours ago    286MB
erlang                                          26.0.2.0-slim                          9b1921a73328   46 hours ago    286MB
erlang                                          slim                                   9b1921a73328   46 hours ago    286MB
<none>                                          <none>                                 51b7bb58dcd0   47 hours ago    834MB
<none>                                          <none>                                 849b94a94c14   47 hours ago    241MB
<none>                                          <none>                                 3e0a828b284c   47 hours ago    237MB
<none>                                          <none>                                 1dd041221d65   47 hours ago    182MB
<none>                                          <none>                                 e07e91556388   47 hours ago    266MB
<none>                                          <none>                                 5a1a7c550fc2   47 hours ago    1.23GB
<none>                                          <none>                                 64d8962956ea   47 hours ago    83.2MB
<none>                                          <none>                                 334a0cd1f593   47 hours ago    1.23GB
<none>                                          <none>                                 6677f86bc084   47 hours ago    266MB
<none>                                          <none>                                 11c7c7100d3d   47 hours ago    1.23GB
<none>                                          <none>                                 f90f05c81e0f   47 hours ago    83.7MB
<none>                                          <none>                                 fe4d15c97574   47 hours ago    272MB
<none>                                          <none>                                 a8731abe3dc7   47 hours ago    1.23GB
<none>                                          <none>                                 27eb797cb9f3   47 hours ago    84.6MB
<none>                                          <none>                                 ab906ed5cc44   47 hours ago    273MB
<none>                                          <none>                                 96f9d41779cf   47 hours ago    1.23GB
<none>                                          <none>                                 4b15f6e8e278   47 hours ago    85.6MB
<none>                                          <none>                                 4cf37eaecc90   47 hours ago    277MB
<none>                                          <none>                                 5f3ef9cfa86d   47 hours ago    1.24GB
<none>                                          <none>                                 3dc82a4fe260   47 hours ago    84MB
<none>                                          <none>                                 3cf7cd05c1fa   47 hours ago    290MB
<none>                                          <none>                                 a3dbcc9229ae   47 hours ago    1.47GB
<none>                                          <none>                                 e5ebb6ba9bd8   47 hours ago    292MB
<none>                                          <none>                                 7358bdd7370e   47 hours ago    83.4MB
elixir                                          1.13-otp-25                            1331bcaf3393   47 hours ago    1.47GB
elixir                                          1.13.4-otp-25                          1331bcaf3393   47 hours ago    1.47GB
<none>                                          <none>                                 4c04b5b6f2f0   47 hours ago    271MB
<none>                                          <none>                                 e586980a7a59   47 hours ago    84.2MB
<none>                                          <none>                                 3360464160b9   47 hours ago    290MB
<none>                                          <none>                                 f9d3ec2fa879   47 hours ago    1.47GB
<none>                                          <none>                                 4d318078cd94   47 hours ago    292MB
<none>                                          <none>                                 bf1a9fa629eb   47 hours ago    83.8MB
elixir                                          1.14-otp-25                            afc1e6fd0db7   47 hours ago    1.47GB
elixir                                          1.14.5-otp-25                          afc1e6fd0db7   47 hours ago    1.47GB
<none>                                          <none>                                 e1e2221e2ca9   47 hours ago    291MB
<none>                                          <none>                                 7788495482c8   47 hours ago    84.5MB
<none>                                          <none>                                 6c075db792c5   47 hours ago    1.47GB
<none>                                          <none>                                 17ab4ef8f5a3   47 hours ago    83.9MB
